Vel,Acc,5_sec_Vel_mean,5_sec_Acc_mean,10_sec_Vel_mean,10_sec_Acc_mean,30_sec_Vel_mean,30_sec_Acc_mean,60_sec_Vel_mean,60_sec_Acc_mean,30_sec_Acc_min,30_sec_Acc_max,60_sec_Acc_min,60_sec_Acc_max,60_sec_Vel_iddle_count,actual_phase,predictive_phase
30.28055556,0.044444444000000013,11.38855,0.04154,11.38855,0.04154,11.38855,0.04154,11.38855,0.04154,-2.7111099999999997,2.87778,-2.7111099999999997,2.87778,0.0,rts95_Phase 1,rts95_Phase 1
20.250912,-0.13411199999999998,18.40599,0.11302000000000001,18.40599,0.11302000000000001,18.40599,0.11302000000000001,18.40599,0.11302000000000001,-1.2070100000000001,1.4305299999999999,-1.2070100000000001,1.4305299999999999,0.0,hwfet_Phase 1,hwfet_Phase 1
0.0,0.0,4.65194,-0.0,4.65194,-0.0,4.65194,-0.0,4.65194,-0.0,-1.47222,1.33333,-1.47222,1.33333,33.0,wltp_class3b_Low 3,wltp_class3b_Low 3
12.2936,0.0,9.57762,0.01546,9.57762,0.01546,9.57762,0.01546,9.57762,0.01546,-1.4752299999999998,1.4752299999999998,-1.4752299999999998,1.4752299999999998,1.0,ftp72_Phase 2,ftp72_Phase 2
16.41666667,-0.133333333,9.55053,0.028669999999999998,9.55053,0.028669999999999998,9.55053,0.028669999999999998,9.55053,0.028669999999999998,-2.7111099999999997,2.87778,-2.7111099999999997,2.87778,0.0,rts95_Phase 1,rts95_Phase 1
1.222222222,-1.027777778,4.99383,0.0012,4.99383,0.0012,4.99383,0.0012,4.99383,0.0012,-1.77778,1.97222,-1.77778,1.97222,10.0,artemis_urban_Urban 1,artemis_urban_Urban 1
0.897222222,-0.897222222,9.556610000000001,0.0,9.556610000000001,0.0,9.556610000000001,0.0,9.556610000000001,0.0,-2.7111099999999997,2.87778,-2.7111099999999997,2.87778,0.0,rts95_Phase 1,rts95_Phase 1
9.924288,1.028192,7.02602,0.057339999999999995,7.02602,0.057339999999999995,7.02602,0.057339999999999995,7.02602,0.057339999999999995,-1.4752299999999998,1.4752299999999998,-1.4752299999999998,1.4752299999999998,32.0,ftp72_Phase 1,ftp72_Phase 1
1.594444444,-0.819444444,14.6887,0.00088,14.6887,0.00088,14.6887,0.00088,14.6887,0.00088,-2.7111099999999997,2.87778,-2.7111099999999997,2.87778,0.0,rts95_Phase 1,rts95_Phase 1
25.794208,0.0,20.25352,0.06261,20.25352,0.06261,20.25352,0.06261,20.25352,0.06261,-1.2070100000000001,1.4305299999999999,-1.2070100000000001,1.4305299999999999,0.0,hwfet_Phase 1,hwfet_Phase 1
8.166666667000001,-0.611111111,4.51535,0.049710000000000004,4.51535,0.049710000000000004,4.51535,0.049710000000000004,4.51535,0.049710000000000004,-1.47222,1.55556,-1.47222,1.55556,39.0,wltp_class3b_Low 3,wltp_class3b_Low 3
25.928320000000006,-0.044704,19.46048,0.0723,19.46048,0.0723,19.46048,0.0723,19.46048,0.0723,-1.2070100000000001,1.4305299999999999,-1.2070100000000001,1.4305299999999999,0.0,hwfet_Phase 1,hwfet_Phase 1
5.944444444,0.944444444,6.59732,0.00838,6.59732,0.00838,6.59732,0.00838,6.59732,0.00838,-1.5,1.61111,-1.5,1.61111,0.0,wltp_class3b_Medium 3-2,wltp_class3b_Medium 3-2
6.777777778,-0.5277777779999999,12.99647,0.0035,12.99647,0.0035,12.99647,0.0035,12.99647,0.0035,-1.5,1.66667,-1.5,1.66667,0.0,wltp_class3b_Extra-high 3,wltp_class3b_Extra-high 3
0.0,0.316666667,6.06205,0.0035600000000000002,6.06205,0.0035600000000000002,6.06205,0.0035600000000000002,6.06205,0.0035600000000000002,-2.10278,2.15,-2.10278,2.15,0.0,rts95_Phase 1,rts95_Phase 1
3.933952,0.089408,9.55739,0.0036899999999999997,9.55739,0.0036899999999999997,9.55739,0.0036899999999999997,9.55739,0.0036899999999999997,-1.4752299999999998,1.4752299999999998,-1.4752299999999998,1.4752299999999998,22.0,ftp72_Phase 2,ftp72_Phase 2
10.72896,-0.581152,6.95233,0.05545,6.95233,0.05545,6.95233,0.05545,6.95233,0.05545,-1.4752299999999998,1.4752299999999998,-1.4752299999999998,1.4752299999999998,39.0,ftp72_Phase 1,ftp72_Phase 1
34.32777778,0.344444444,12.77205,0.044680000000000004,12.77205,0.044680000000000004,12.77205,0.044680000000000004,12.77205,0.044680000000000004,-2.7111099999999997,2.87778,-2.7111099999999997,2.87778,0.0,rts95_Phase 1,rts95_Phase 1
7.733792,1.207008,12.11047,0.0254,12.11047,0.0254,12.11047,0.0254,12.11047,0.0254,-1.4752299999999998,1.4752299999999998,-1.4752299999999998,1.4752299999999998,14.0,ftp72_Phase 1,ftp72_Phase 1
29.012896,0.178816,18.43231,0.13901,18.43231,0.13901,18.43231,0.13901,18.43231,0.13901,-2.5928299999999997,3.7551400000000004,-2.5928299999999997,3.7551400000000004,0.0,ftp_us06_Phase 1,ftp_us06_Phase 1
12.25,0.194444444,8.88322,0.06515,8.88322,0.06515,8.88322,0.06515,8.88322,0.06515,-4.08333,2.36111,-4.08333,2.36111,8.0,artemis_road_Road 1,artemis_road_Road 1
0.0,0.0,7.881939999999999,0.0,7.881939999999999,0.0,7.881939999999999,0.0,7.881939999999999,0.0,-1.5,1.61111,-1.5,1.61111,10.0,wltp_class3b_Medium 3-2,wltp_class3b_Medium 3-2
0.0,0.0,9.42805,-0.0,9.42805,-0.0,9.42805,-0.0,9.42805,-0.0,-1.4752299999999998,1.4752299999999998,-1.4752299999999998,1.4752299999999998,4.0,ftp72_Phase 2,ftp72_Phase 2
