meanVel,maxVel,minVel,stdVel,maxAccel,maxDecel,stdAccel,stdDecel,meanAccel,meanDecel,rAccel,rDecel,rStop,stopCnt,meanStopDur,meanGear,gearChg,meanVel_category,Cycle_category,maxVel_category,minVel_category,stdVel_category,maxAccel_category,maxDecel_category,stdAccel_category,stdDecel_category,meanAccel_category,meanDecel_category,rAccel_category,rDecel_category,rStop_category,stopCnt_category,meanStopDur_category,meanGear_category,gearChg_category,meanVel_category_category,actual_phase,predictive_phase
8.933632734,15.69444444,0.5277777779999999,3.809309421,1.5555555559999998,-1.5,0.31491166600000003,0.354160993,0.553184282,-0.532552083,0.49397590399999997,0.385542169,0.0,0,0.0,2.107784431,12,1,0,1,0,1,4,3,3,2,1,1,4,2,0,0,0,2,2,1,2,4
5.1792777139999995,11.801855999999999,0.0,3.6616296999999998,2.68224,-2.637536,0.67485835,0.543487115,0.801691733,-0.702196677,0.35928143700000004,0.38922155700000005,0.113772455,4,4.75,1.511904762,16,0,0,1,0,1,5,2,5,3,2,1,3,2,1,2,0,1,3,0,1,1
12.28213006,19.02777778,0.0,4.743684085,1.9166666669999999,-1.9166666669999999,0.359013101,0.457635623,0.447956577,-0.49257106,0.402777778,0.398148148,0.023148147999999997,1,5.0,2.5714285709999998,8,2,1,2,0,1,4,3,3,3,1,2,3,2,0,0,0,3,1,2,3,4
6.658183632999999,13.83333333,0.0,3.445855328,1.333333333,-1.5,0.38564982,0.33520919899999996,0.602067183,-0.43689986299999994,0.259036145,0.487951807,0.036144578,1,6.0,1.778443114,9,1,0,1,0,1,3,3,4,2,1,2,2,3,0,0,0,1,1,1,2,2
2.2396872919999997,9.305555556,0.0,2.836478966,1.611111111,-1.4722222219999999,0.47179732399999996,0.45262426899999997,0.695436508,-0.566137566,0.16867469899999998,0.253012048,0.5120481929999999,3,28.33333333,1.149700599,6,0,0,1,0,0,4,3,4,3,1,1,1,1,5,1,2,1,1,0,2,1
28.56343669,36.41666667,10.19444444,6.927824789,1.1944444440000002,-1.1944444440000002,0.270743662,0.271016128,0.413773148,-0.316570881,0.448598131,0.271028037,0.0,0,0.0,4.623255814,4,5,1,5,2,2,3,3,3,2,1,2,4,2,0,0,0,5,1,3,5,5
2.231740762,10.013696000000001,0.0,3.0322845689999998,2.2352,-2.637536,0.55778736,0.534331001,0.750556632,-0.68805287,0.22754491,0.275449102,0.46107784399999996,4,19.25,1.154761905,5,0,0,1,0,0,5,2,5,3,1,1,2,2,4,2,2,1,1,0,1,1
14.85739887,22.30555556,0.5555555560000001,4.958663695,1.166666667,-1.9166666669999999,0.308999806,0.452427034,0.35972222200000004,-0.483641975,0.27777777800000003,0.41666666700000005,0.0,0,0.0,2.829493088,11,3,1,3,0,1,3,3,3,3,1,2,2,2,0,0,0,3,2,2,3,4
9.261131095,20.31388889,0.0,6.574727983,2.877777778,-2.6972222219999997,0.686780853,0.67277526,0.940909091,-0.964021164,0.398550725,0.456521739,0.072463768,2,5.0,2.057553957,14,1,3,2,0,1,5,2,5,4,2,0,3,3,1,1,0,2,2,1,9,9
9.606630824,19.75,0.0,5.716543287,2.361111111,-4.083333333,0.5143640070000001,0.69033517,0.6862433859999999,-0.71194825,0.48611111100000004,0.33796296299999995,0.106481481,3,7.666666667,2.225806452,20,1,1,2,0,1,5,0,5,4,1,1,4,2,1,1,0,2,3,1,3,8
4.428819444,13.66666667,0.0,4.966134938,2.166666667,-3.0,0.584213117,0.7822280429999999,0.8783670029999999,-1.037698413,0.31884058,0.270531401,0.38647343,6,13.33333333,1.533653846,18,0,2,1,0,1,5,1,5,5,2,0,2,2,3,3,1,1,3,0,7,8
7.27105475,13.8,0.0,4.347625999,2.463888889,-2.486111111,0.657484512,0.623758817,0.996767677,-0.936022928,0.401459854,0.459854015,0.10948905099999999,3,5.0,1.934782609,19,1,3,1,0,1,5,2,5,3,2,0,3,3,1,1,0,1,3,1,8,8
